dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,objID1,distance
spectrum,-1,JWST,jw01208025001_xx105_00004_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F115W;GR150R,1000000000000,1300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04159439266914 -24.098589287630205 64.00999039380045 -24.07510039141448 64.036079899779 -24.046140731538856 64.06765423306685 -24.069644802806067 ,,,,,,SCIENCE,10000004258,10000004514,10000004514,0
image,-1,JWST,jw01176211001_xx101_00001_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,1374.307,INFRARED,F090W;F444W;,795000000000,1005000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.04628054402616 -24.098940623173235 63.95945948595694 -24.067639926065 63.97431753077609 -24.033832706578213 64.06004140186751 -24.064712591371176 ,,,,,,SCIENCE,10000002613,10000000173,10000000173,0
image,-1,JWST,jw01176212001_xx10C_00003_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,944.836,INFRARED,F200W;F277W;,1755000000000,2226000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.05090366707832 -24.097061249938918 63.96408275124083 -24.065763160704023 63.978939361599316 -24.031955495116904 64.06466308904126 -24.06283280459877 ,,,,,,SCIENCE,10000002154,10000000196,10000000196,0
image,-1,JWST,jw01208004001_xx101_00001_nircam,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,365.05,INFRARED,F150W;F277W;,1331000000000,1668000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRCAM,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.08333727261358 -24.128668904516704 64.01107089866916 -24.074716258281683 64.03649676348651 -24.04664480283617 64.10786857244587 -24.099892938330697 ,,,,,,SCIENCE,10000010548,10000004301,10000004301,0
spectrum,-1,JWST,jw01208016001_xx10D_00001_nirspec,ID14B-MACSJ0416,64.0342,-24.0667138888889,,,656.5,INFRARED,CLEAR;PRISM,600000000000,5000000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRSPEC,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.03470306581181 -24.067203328152573 64.03473505543877 -24.0663169481644 64.03379318878 -24.066299197665046 64.03376100518938 -24.067185710764534 ,,,,,,SCIENCE,10000010625,10000004441,10000004441,23.41246846259407
spectrum,-1,JWST,jw01208023001_xx10S_00007_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F150W;GR150C,1300000000000,1700000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04165764135338 -24.098719295156286 64.01005359886767 -24.075230411922405 64.03614311701453 -24.04627074133151 64.06771749389794 -24.06977479961398 ,,,,,,SCIENCE,10000004243,10000004481,10000004481,0
spectrum,-1,JWST,jw01208023001_xx112_00007_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F150W;GR150R,1300000000000,1700000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04165764135338 -24.098719295156286 64.01005359886767 -24.075230411922405 64.03614311701453 -24.04627074133151 64.06771749389794 -24.06977479961398 ,,,,,,SCIENCE,10000010654,10000004491,10000004491,0
spectrum,-1,JWST,jw01208023001_xx115_00001_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,558.312,INFRARED,F115W;,1000000000000,1300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04177997317171 -24.098597787662243 64.01017593819635 -24.075108929546502 64.03626540403874 -24.04614923822146 64.06783977339339 -24.069653271395453 ,,,,,,SCIENCE,10000004247,10000004494,10000004494,0
image,-1,JWST,jw01176211001_xx104_00001_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,1374.307,INFRARED,F115W;F410M;,1013000000000,1282000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.04628054402616 -24.098940623173235 63.95945948595694 -24.067639926065 63.97431753077609 -24.033832706578213 64.06004140186751 -24.064712591371176 ,,,,,,SCIENCE,10000002143,10000000176,10000000176,0
image,-1,JWST,jw01176212001_xx102_00002_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,1374.307,INFRARED,F090W;F444W;,795000000000,1005000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.04859212249701 -24.098000953923417 63.96177113549627 -24.066701560736362 63.976628463081475 -24.032894118194633 64.0623522623949 -24.06377271534734 ,,,,,,SCIENCE,10000002619,10000000186,10000000186,0
image,-1,JWST,jw01176212001_xx107_00001_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,944.836,INFRARED,F150W;F356W;,1331000000000,1668000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.04628054402616 -24.098940623173235 63.95945948595694 -24.067639926065 63.97431753077609 -24.033832706578213 64.06004140186751 -24.064712591371176 ,,,,,,SCIENCE,10000002149,10000000191,10000000191,0
image,-1,JWST,jw01176213001_xx10A_00001_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,944.836,INFRARED,F200W;F277W;,1755000000000,2226000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.04628054402616 -24.098940623173235 63.95945948595694 -24.067639926065 63.97431753077609 -24.033832706578213 64.06004140186751 -24.064712591371176 ,,,,,,SCIENCE,10000002632,10000000206,10000000206,0
image,-1,JWST,jw01208004001_xx104_00003_nircam,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,944.836,INFRARED,F150W;F277W;,1331000000000,1668000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRCAM,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.08459520921495 -24.1285427545763 64.01232837641196 -24.074590699130624 64.03775394127518 -24.046519035965503 64.10912620208683 -24.09976658757398 ,,,,,,SCIENCE,10000010551,10000004304,10000004304,0
image,-1,JWST,jw01208004001_xx10C_00003_nircam,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,944.836,INFRARED,F200W;F356W;,1755000000000,2226000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRCAM,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.08459520921495 -24.1285427545763 64.01232837641196 -24.074590699130624 64.03775394127518 -24.046519035965503 64.10912620208683 -24.09976658757398 ,,,,,,SCIENCE,10000004165,10000004312,10000004312,0
image,-1,JWST,jw01208004001_xx10H_00001_nircam,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,365.05,INFRARED,F115W;F444W;,1013000000000,1282000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRCAM,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.08333727261358 -24.128668904516704 64.01107089866916 -24.074716258281683 64.03649676348651 -24.04664480283617 64.10786857244587 -24.099892938330697 ,,,,,,SCIENCE,10000010557,10000004317,10000004317,0
